state,forecast_month,forecast_step,forecast_mean,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper
Karnataka,2026-02,2,191078.58888888883,28986.30845434213,353170.86932343553,0.0,438895.17988086346
Karnataka,2026-03,3,199688.70555555553,1167.0164011772722,398210.3947099338,0.0,503200.8044187235
Karnataka,2026-04,4,208298.82222222217,0.0,437531.9235687412,0.0,558764.4061841388
Karnataka,2026-05,5,216908.9388888888,0.0,473199.3375408463,0.0,608741.3736453918
Karnataka,2026-06,6,225519.0555555555,0.0,506271.120782893,0.0,654749.9821121712
Karnataka,2026-07,7,234129.17222222214,0.0,537376.0614356995,0.0,697751.5613473514
Karnataka,2026-08,8,242739.28888888878,0.0,566923.8497579822,0.0,738372.470872838
Karnataka,2026-09,9,251349.40555555548,0.0,595199.057575334,0.0,777047.7814984305
Karnataka,2026-10,10,259959.52222222212,0.0,622408.8799018277,0.0,814094.2656325395
Karnataka,2026-11,11,268569.63888888876,0.0,648709.732236847,0.0,849751.0608561261
Karnataka,2026-12,12,277179.7555555554,0.0,674223.133864312,0.0,884203.9532818913
Kerala,2026-01,1,192690.5,149697.40980089462,235683.59019910538,126960.0344849871,258420.9655150129
Kerala,2026-02,2,220057.4,159255.98875209538,280858.8112479046,127100.48420757172,313014.3157924283
Kerala,2026-03,3,247424.3,172958.08340075793,321890.51659924205,133575.79412284365,361272.8058771563
Kerala,2026-04,4,274791.19999999995,188805.0196017892,360777.3803982107,143330.26896997416,406252.1310300258
Kerala,2026-05,5,302158.1,206022.62775202037,398293.5722479796,155180.31091572542,449135.88908427453
Kerala,2026-06,6,329525.0,224213.86654673942,434836.1334532606,168518.89893261253,490531.1010673875
Kerala,2026-07,7,356891.9,243142.87523899876,470640.92476100125,182985.43468676877,530798.3653132312
Kerala,2026-08,8,384258.79999999993,262655.9775041907,505861.62249580916,198344.96841514338,570172.6315848564
Kerala,2026-09,9,411625.69999999995,282646.42940268386,540604.970597316,214434.30345496128,608817.0965450386
Kerala,2026-10,10,438992.6,303036.5113217649,574948.688678235,231134.61730940663,646850.5826905933
Kerala,2026-11,11,466359.5,323767.55123166135,608951.4487683387,248356.2085913075,684362.7914086925
Kerala,2026-12,12,493726.3999999999,344793.9668015158,642658.833198484,266029.38824568724,721423.4117543126
Ladakh,2026-01,1,1384.0,885.0858741138411,1882.914125886159,621.2295735281814,2146.7704264718186
Ladakh,2026-02,2,1683.5,977.9288767122764,2389.071123287724,604.7797179064444,2762.2202820935554
Ladakh,2026-03,3,1983.0,1118.855385351358,2847.144614648642,661.8428668398296,3304.1571331601704
Ladakh,2026-04,4,2282.5,1284.6717482276822,3280.328251772318,756.9591470563628,3808.040852943637
Ladakh,2026-05,5,2582.0,1466.394099583661,3697.605900416339,876.3934751825084,4287.606524817492
Ladakh,2026-06,6,2881.5,1659.4149661122185,4103.585033887782,1013.1016642589302,4749.89833574107
Ladakh,2026-07,7,3181.0,1860.9972973280508,4501.002702671949,1162.8991441208889,5199.100855879111
Ladakh,2026-08,8,3480.5,2069.357753424553,4891.642246575448,1323.0594358128888,5637.940564187111
Ladakh,2026-09,9,3780.0,2283.2576223415235,5276.7423776584765,1491.6887205845442,6068.311279415456
Ladakh,2026-10,10,4079.5,2501.795005367765,5657.204994632235,1667.4081205310604,6491.59187946894
Ladakh,2026-11,11,4379.0,2724.289041827471,6033.710958172529,1849.1766942136055,6908.8233057863945
Ladakh,2026-12,12,4678.5,2950.210770702716,6406.789229297284,2036.1857336796593,7320.814266320341
Lakshadweep,2026-01,1,312.5,257.94058170443896,367.05941829556104,229.08622475873665,395.91377524126335
Lakshadweep,2026-02,2,346.20000000000005,269.0413306912309,423.3586693087692,228.2351077650643,464.1648922349358
Lakshadweep,2026-03,3,379.9000000000001,285.40031548068544,474.39968451931475,235.42310323100108,524.3768967689991
Lakshadweep,2026-04,4,413.6000000000001,304.481163408878,522.7188365911221,246.77244951747338,580.4275504825268
Lakshadweep,2026-05,5,447.30000000000007,325.30143187827986,569.2985681217202,260.7811283006463,633.8188716993538
Lakshadweep,2026-06,6,481.0000000000001,347.3572645128065,614.6427354871937,276.6788131397042,685.321186860296
Lakshadweep,2026-07,7,514.7000000000002,370.3493475135981,659.0506524864022,294.0078947945806,735.3921052054197
Lakshadweep,2026-08,8,548.4000000000001,394.0826613824617,702.7173386175384,312.4702155301286,784.3297844698716
Lakshadweep,2026-09,9,582.1000000000001,418.421745113317,745.7782548866833,331.8586742762101,832.3413257237902
Lakshadweep,2026-10,10,615.8000000000002,443.26797037216556,788.3320296278348,352.0224820042468,879.5775179957536
Lakshadweep,2026-11,11,649.5000000000002,468.5468807335725,830.453119266428,372.84780517769275,926.1521948223077
Lakshadweep,2026-12,12,683.2000000000002,494.20063096137085,872.1993690386295,394.24620646200214,972.1537935379981
Madhya Pradesh,2026-01,1,225009.58333333326,77785.16853103018,372233.9981356363,0.0,450095.2721106453
Madhya Pradesh,2026-02,2,223241.83333333326,15035.069207473978,431448.5974591925,0.0,541561.0670982974
Madhya Pradesh,2026-03,3,221474.08333333326,0.0,476474.24988551764,0.0,611333.9323522735
Madhya Pradesh,2026-04,4,219706.33333333326,0.0,514155.1629379394,0.0,669877.7108879574
Madhya Pradesh,2026-05,5,217938.58333333326,0.0,547142.3827789092,0.0,721245.4842017645
Madhya Pradesh,2026-06,6,216170.83333333326,0.0,576795.5272788305,0.0,767515.9192406457
Madhya Pradesh,2026-07,7,214403.08333333326,0.0,603922.2718172437,0.0,809923.839517783
Madhya Pradesh,2026-08,8,212635.33333333326,0.0,629048.8615850518,0.0,849273.8008632617
Madhya Pradesh,2026-09,9,210867.58333333326,0.0,652540.8277402425,0.0,886124.6496652693
Madhya Pradesh,2026-10,10,209099.83333333326,0.0,674664.3112940192,0.0,920883.2785774396
Madhya Pradesh,2026-11,11,207332.08333333326,0.0,695620.2272122181,0.0,953856.8586863865
Madhya Pradesh,2026-12,12,205564.33333333326,0.0,715564.666437702,0.0,985284.0313712137
Maharashtra,2026-01,1,954180.9722222218,376784.68959502806,1531577.2548494155,71422.22499187884,1836939.7194525646
Maharashtra,2026-02,2,1060019.5888888885,243457.93513370235,1876581.2426440746,0.0,2308428.9815255227
Maharashtra,2026-03,3,1165858.205555555,165778.5079438564,2165937.9031672534,0.0,2694841.2065843605
Maharashtra,2026-04,4,1271696.8222222216,116904.2569678342,2426489.387476609,0.0,3037214.3166829078
Maharashtra,2026-05,5,1377535.4388888883,86438.10097880219,2668632.7767989747,0.0,3351444.0054284893
Maharashtra,2026-06,6,1483374.0555555548,69047.78373910696,2897700.3273720024,0.0,3645682.552248408
Maharashtra,2026-07,7,1589212.6722222213,61565.70045750262,3116859.64398694,0.0,3924772.7850606367
Maharashtra,2026-08,8,1695051.288888888,61927.98137851572,3328174.59639926,0.0,4191870.074162156
Maharashtra,2026-09,9,1800889.9055555547,68701.0576739735,3533078.753437136,0.0,4449166.147246583
Maharashtra,2026-10,10,1906728.5222222211,80841.1566059785,3732615.8878384638,0.0,4698256.78790696
Maharashtra,2026-11,11,2012567.1388888876,97560.31406848412,3927573.963709291,0.0,4940346.6838561185
Maharashtra,2026-12,12,2118405.7555555543,118246.36033215723,4118565.150778951,0.0,5176371.757613165
Manipur,2026-01,1,80698.5,34499.89712675616,126897.10287324384,10067.25067741191,151329.7493225881
Manipur,2026-02,2,92023.9,26689.209253969908,157358.5907460301,0.0,191911.57071935956
Manipur,2026-03,3,103349.3,23330.97258484416,183367.62741515585,0.0,225686.21242878743
Manipur,2026-04,4,114674.70000000001,22277.494253512326,207071.9057464877,0.0,255937.1986451762
Manipur,2026-05,5,126000.1,22696.88350990966,229303.31649009034,0.0,283936.374821043
Manipur,2026-06,6,137325.5,24162.496131075764,250488.50386892422,0.0,310336.0207356408
Manipur,2026-07,7,148650.90000000002,26420.885878762754,270880.9141212373,0.0,335523.62049736746
Manipur,2026-08,8,159976.30000000002,29306.918507939845,290645.6814920602,0.0,359751.6414387191
Manipur,2026-09,9,171301.7,32705.8913802685,309897.5086197315,0.0,383195.4479677643
Manipur,2026-10,10,182627.1,36534.2902029503,328719.9097970497,0.0,405982.7218426033
Manipur,2026-11,11,193952.50000000003,40729.0684308153,347175.93156918476,0.0,428209.8524770687
Manipur,2026-12,12,205277.90000000002,45241.245169688336,365314.5548303117,0.0,449951.72485757485
Meghalaya,2026-01,1,0.0,0.0,9041.053078264138,0.0,13822.514846644079
Meghalaya,2026-02,2,0.0,0.0,12785.979881416164,0.0,19547.98796222752
Meghalaya,2026-03,3,0.0,0.0,15659.563285480483,0.0,23941.298002762673
Meghalaya,2026-04,4,0.0,0.0,18082.106156528276,0.0,27645.029693288157
Meghalaya,2026-05,5,0.0,0.0,20216.40927118234,0.0,30908.08281709624
Meghalaya,2026-06,6,0.0,0.0,22145.966779166283,0.0,33858.10833632286
Meghalaya,2026-07,7,0.0,0.0,23920.378035221896,0.0,36570.93677771834
Meghalaya,2026-08,8,0.0,0.0,25571.959762832328,0.0,39095.97592445504
Meghalaya,2026-09,9,0.0,0.0,27123.159234792416,0.0,41467.544539932234
Meghalaya,2026-10,10,0.0,0.0,28590.320173791242,0.0,43710.62990688832
Meghalaya,2026-11,11,0.0,0.0,29985.78077028984,0.0,45844.09540543532
Meghalaya,2026-12,12,0.0,0.0,31319.126570960965,0.0,47882.596005525345
Mizoram,2026-01,1,4574.428571428571,2631.2341640416644,6517.622978815477,1603.5541264376684,7545.303016419473
Mizoram,2026-02,2,5075.690476190475,2327.5985909363626,7823.782361444588,874.2395439766997,9277.141408404252
Mizoram,2026-03,3,5576.95238095238,2211.2409383745626,8942.663823530198,431.24689932014735,10722.657862584612
Mizoram,2026-04,4,6078.214285714284,2191.8254709404714,9964.603100488097,136.46539573247992,12019.963175696088
Mizoram,2026-05,5,6579.476190476189,2234.361402061646,10924.590978890732,0.0,13222.553402092806
Mizoram,2026-06,6,7080.738095238094,2320.9033261102304,11840.572864365957,0.0,14357.864575339976
Mizoram,2026-07,7,7581.999999999999,2440.790849002711,12723.209150997287,0.0,15442.194957842967
Mizoram,2026-08,8,8083.261904761904,2587.0781342536784,13579.44567527013,0.0,16486.163769189454
Mizoram,2026-09,9,8584.52380952381,2754.9405873630894,14414.107031684529,0.0,17497.147144496514
Mizoram,2026-10,10,9085.785714285714,2940.8654504419665,15230.705978129461,0.0,18480.515602845575
Mizoram,2026-11,11,9587.047619047618,3142.200875028234,16031.894363067004,0.0,19440.323452337783
Mizoram,2026-12,12,10088.309523809523,3356.8866386538884,16819.73240896516,0.0,20379.720487073988
Nagaland,2026-01,1,5239.999999999999,4897.3574686396905,5582.642531360308,4716.1471439421175,5763.852856057881
Nagaland,2026-02,2,5309.4,4824.830285104403,5793.969714895597,4568.560186275062,6050.239813724937
Nagaland,2026-03,3,5378.799999999999,4785.325726849933,5972.274273150066,4471.460237617682,6286.139762382317
Nagaland,2026-04,4,5448.199999999999,4762.914937279382,6133.485062720616,4400.494287884235,6495.905712115763
Nagaland,2026-05,5,5517.599999999999,4751.428007895746,6283.771992104253,4346.229403647163,6688.970596352836
Nagaland,2026-06,6,5586.999999999999,4747.70063399166,6426.299366008338,4303.827802358544,6870.172197641454
Nagaland,2026-07,7,5656.399999999999,4749.8530734269725,6562.946926573025,4270.415619279927,7042.38438072007
Nagaland,2026-08,8,5725.799999999999,4756.660570208805,6694.939429791193,4244.120372550125,7207.479627449874
Nagaland,2026-09,9,5795.199999999999,4767.272405919073,6823.127594080925,4223.641431826353,7366.758568173645
Nagaland,2026-10,10,5864.5999999999985,4781.069177655751,6948.130822344246,4208.031816072757,7521.1681839272405
Nagaland,2026-11,11,5933.999999999999,4797.583286260273,7070.416713739725,4196.576631099949,7671.423368900049
Nagaland,2026-12,12,6003.399999999999,4816.451453699865,7190.3485463001325,4188.720475235365,7818.079524764633
Odisha,2026-01,1,200304.8,124519.27506981906,276090.3249301809,84439.254864934,316170.34513506596
Odisha,2026-02,2,228700.0,121523.08281217383,335876.9171878262,64841.37465823768,392558.6253417623
Odisha,2026-03,3,257095.19999999998,125830.82034264883,388359.57965735113,56410.18897940076,457780.21102059924
Odisha,2026-04,4,285490.39999999997,133919.35013963812,437061.4498603618,53759.30972986799,517221.49027013197
Odisha,2026-05,5,313885.5999999999,144424.01454561035,483347.1854543895,54802.36482792231,572968.8351720775
Odisha,2026-06,6,342280.79999999993,156644.93403208294,527916.665967917,58469.33564967447,626092.2643503253
Odisha,2026-07,7,370675.99999999994,170166.34805625555,571185.6519437444,64124.582051685604,677227.4179483142
Odisha,2026-08,8,399071.19999999995,184717.3656243476,613425.0343756523,71353.94931647531,726788.4506835246
Odisha,2026-09,9,427466.3999999999,200109.82520945714,654822.9747905426,79869.76459480193,775063.0354051979
Odisha,2026-10,10,455861.5999999999,216206.72754915498,695516.4724508448,89462.5750361497,822260.6249638501
Odisha,2026-11,11,484256.7999999999,232904.64926646464,735608.9507335351,99974.2606569975,868539.3393430023
Odisha,2026-12,12,512651.9999999999,250123.24068529758,775180.7593147021,111281.97795880144,914022.0220411983
Puducherry,2026-01,1,6682.0,5154.548377699968,8209.451622300032,4346.738549369686,9017.261450630314
Puducherry,2026-02,2,7347.4,5187.257199874508,9507.542800125491,4044.841584831541,10649.958415168458
Puducherry,2026-03,3,8012.799999999999,5367.176184072838,10658.42381592716,3968.0085185512958,12057.591481448702
Puducherry,2026-04,4,8678.199999999999,5623.296755399935,11733.103244600063,4007.67709873937,13348.722901260628
Puducherry,2026-05,5,9343.599999999999,5928.114340194793,12759.085659805205,4121.796651155846,14565.403348844151
Puducherry,2026-06,6,10008.999999999998,6267.522918578545,13750.477081421452,4288.801029964078,15729.198970035919
Puducherry,2026-07,7,10674.399999999998,6633.142867711952,14715.657132288045,4495.878955316246,16852.92104468375
Puducherry,2026-08,8,11339.8,7019.514399749016,15660.085600250983,4734.683169663082,17944.916830336915
Puducherry,2026-09,9,12005.199999999999,7422.845133099902,16587.554866900096,4999.415648109056,19010.98435189094
Puducherry,2026-10,10,12670.599999999999,7840.373857812658,17500.82614218734,5285.8548840193525,20055.345115980643
Puducherry,2026-11,11,13335.999999999998,8270.016083411138,18401.98391658886,5590.813980878185,21081.18601912181
Puducherry,2026-12,12,14001.399999999998,8710.152368145675,19292.64763185432,5911.817037102591,22090.982962897404
Punjab,2026-01,1,95722.27777777775,49434.68985655234,142009.86569900316,24954.982672004116,166489.5728835514
